id,slug,name,description,address,city,district,openingHours,priceTier,lat,lng,isSponsored,sponsoredUntil,sponsoredRank,logoUrl,coverUrl,manager_id,status
c139,cafe-simpang-empat-yz78,Cafe Simpang Empat Lubuklinggau,"Lokasi strategis di persimpangan jalan utama, menjadi titik pertemuan yang ideal. Menu makanannya lengkap dan buka sampai larut.",Jl. Lintas Sumatera,Lubuklinggau,Pusat Kota,10:00 - 01:00,2,-3.29,102.855,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324572/nongkrongr-real/cafe-simpang-empat-cover_n4qftg.jpg,,approved
c140,green-valley-pagar-alam-ab90,Green Valley Resto & Cafe,"Restoran keluarga dengan area kafe outdoor yang menghadap ke lembah hijau. Udaranya sejuk dan pemandangannya indah.",Jl. Raya Pagar Alam,Pagar Alam,Pagar Alam Selatan,09:00 - 22:00,2,-4.15,103.26,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324573/nongkrongr-real/green-valley-cover_ygr4x0.jpg,,approved
c141,pitoe-space-palembang-cd12,Pitoe Space,"Kafe dengan konsep industrial tropis yang unik. Area semi-outdoornya sangat sejuk dan nyaman untuk nongkrong sore hari.",Jl. Mayor Santoso No. 3030,Palembang,Ilir Timur I,10:00 - 23:00,2,-2.965,104.76,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324583/nongkrongr-real/pitoe-space-cover_y4bdtj.jpg,,approved
c142,ground-zero-palembang-ef34,Ground Zero Coffee & Roastery,"Tempat bagi para 'coffee snob'. Menyediakan biji kopi langka dan metode seduh yang beragam. Baristanya sangat berpengetahuan.",Jl. Perintis Kemerdekaan,Palembang,Ilir Timur II,08:00 - 20:00,3,-2.978,104.77,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324573/nongkrongr-real/ground-zero-cover_tewy2s.jpg,,approved
c143,kopi-daripada-palembang-gh56,Kopi Daripada,"Brand kopi kekinian dengan harga yang sangat terjangkau. Meskipun murah, rasa kopinya tetap berkualitas.",Jl. Radial,Palembang,Ilir Barat I,09:00 - 22:00,1,-2.986,104.74,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324578/nongkrongr-real/kopi-daripada-cover_wzk0c4.jpg,,approved
c144,arumba-coffee-palembang-ij78,Arumba Coffee,"Kafe dengan nuansa etnik Palembang yang kental. Sering menjadi tempat pameran seni dan budaya lokal.",Jl. Tasik No. 1,Palembang,Ilir Barat I,10:00 - 22:00,2,-2.99,104.75,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324570/nongkrongr-real/arumba-coffee-cover_x9f44w.jpg,,approved
c145,golden-petal-palembang-kl90,Golden Petal Coffee,"Kafe yang sangat feminin dengan dekorasi penuh bunga dan warna-warna cerah. Spot favorit untuk foto-foto cantik.",Jl. Dr. Cipto No. 4,Palembang,Ilir Barat I,11:00 - 21:00,2,-2.982,104.742,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324573/nongkrongr-real/golden-petal-cover_mhrj0c.jpg,,approved
c146,naskop-muara-enim-mn12,Naskop Muara Enim,"Warung kopi sederhana yang menjadi legenda di Muara Enim. Kopi hitamnya kental dan pekat, favorit para bapak-bapak.",Pasar Muara Enim,Muara Enim,Pusat Kota,06:00 - 22:00,1,-3.652,103.618,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324582/nongkrongr-real/naskop-muara-enim-cover_ot3fhp.jpg,,approved
c147,saudagar-kopi-baturaja-op34,Saudagar Kopi Baturaja,"Menyajikan kopi robusta asli dari perkebunan di OKU. Tempatnya sederhana tapi kopinya juara.",Jl. Veteran,Ogan Komering Ulu,Baturaja Barat,08:00 - 23:00,1,-4.13,104.15,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324586/nongkrongr-real/saudagar-kopi-baturaja-cover_d756w1.jpg,,approved
c148,danau-ranau-coffee-qr56,Danau Ranau Coffee Point,"Ngopi di tepi Danau Ranau yang indah. Suasananya sangat tenang dan udaranya sejuk. Pemandangan terbaik saat pagi hari.",Desa Kota Batu,OKU Selatan,Bandung Agung,07:00 - 19:00,2,-4.85,103.92,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324571/nongkrongr-real/danau-ranau-cover_fcyxpc.jpg,,approved
c149,sebataskopi-palembang-st78,Sebataskopi,"Kafe mungil dengan konsep take-away yang kuat, namun menyediakan beberapa kursi untuk nongkrong singkat. Es Kopi Susunya jadi andalan.",Jl. Angkasa Pura,Palembang,Sukarami,08:00 - 21:00,1,-2.89,104.7,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324586/nongkrongr-real/sebataskopi-cover_k6wszw.jpg,,approved
c150,point-coffee-indomaret-uv90,Point Coffee Indomaret,"Pilihan cepat dan praktis untuk kopi berkualitas dengan harga terjangkau. Tersedia di banyak cabang Indomaret di seluruh Sumsel.",Berbagai Lokasi,Palembang,Seluruh Kota,24 Jam,1,-2.97,104.75,false,,,,https://res.cloudinary.com/dovouihq8/image/upload/v1722324584/nongkrongr-real/point-coffee-cover_n4qgwb.jpg,,approved
